id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
172,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,APRIL,50.0,MILIMETER,2015
173,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,MEI,38.0,MILIMETER,2015
174,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,JUNI,82.0,MILIMETER,2015
175,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,JULI,0.0,MILIMETER,2015
176,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,AGUSTUS,5.0,MILIMETER,2015
177,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,SEPTEMBER,0.0,MILIMETER,2015
178,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,OKTOBER,20.0,MILIMETER,2015
179,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,NOVEMBER,93.0,MILIMETER,2015
180,32.0,JAWA BARAT,CISADEA-CIBARENO,CISEKARWANGI,DESEMBER,64.0,MILIMETER,2015
181,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,JANUARI,33.0,MILIMETER,2015
182,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,FEBRUARI,20.0,MILIMETER,2015
183,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,MARET,35.0,MILIMETER,2015
184,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,APRIL,48.0,MILIMETER,2015
185,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,MEI,16.0,MILIMETER,2015
186,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,JUNI,56.0,MILIMETER,2015
187,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,JULI,0.0,MILIMETER,2015
188,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,AGUSTUS,0.0,MILIMETER,2015
189,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,SEPTEMBER,0.0,MILIMETER,2015
190,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,OKTOBER,4.0,MILIMETER,2015
191,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,NOVEMBER,24.0,MILIMETER,2015
192,32.0,JAWA BARAT,CISADEA-CIBARENO,CITARIK,DESEMBER,31.0,MILIMETER,2015
193,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,JANUARI,53.0,MILIMETER,2015
194,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,FEBRUARI,37.0,MILIMETER,2015
195,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,MARET,47.0,MILIMETER,2015
196,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,APRIL,56.0,MILIMETER,2015
197,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,MEI,49.0,MILIMETER,2015
198,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,JUNI,72.0,MILIMETER,2015
199,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,JULI,18.0,MILIMETER,2015
200,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,AGUSTUS,17.0,MILIMETER,2015
201,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,SEPTEMBER,7.0,MILIMETER,2015
202,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,OKTOBER,19.0,MILIMETER,2015
203,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,NOVEMBER,63.0,MILIMETER,2015
204,32.0,JAWA BARAT,CISADEA-CIBARENO,CIUTARA,DESEMBER,30.0,MILIMETER,2015
205,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,JANUARI,42.0,MILIMETER,2015
206,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,FEBRUARI,55.0,MILIMETER,2015
207,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,MARET,45.0,MILIMETER,2015
208,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,APRIL,45.0,MILIMETER,2015
209,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,MEI,38.0,MILIMETER,2015
210,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,JUNI,43.0,MILIMETER,2015
211,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,JULI,0.0,MILIMETER,2015
212,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,AGUSTUS,0.0,MILIMETER,2015
213,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,SEPTEMBER,0.0,MILIMETER,2015
214,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,OKTOBER,0.0,MILIMETER,2015
215,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,NOVEMBER,52.0,MILIMETER,2015
216,32.0,JAWA BARAT,CISADEA-CIBARENO,DATARNANGKA,DESEMBER,48.0,MILIMETER,2015
217,32.0,JAWA BARAT,CISADEA-CIBARENO,GEGER BITUNG,JANUARI,23.0,MILIMETER,2015
